speaker;feature;eta_squared;f_stat;p_value;n_total
;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;0.1619574730138804;2028.520702408641;0.0;20996
;HNRdBACF_sma3nz_amean;0.14203758392816948;1737.718892778644;0.0;20996
;mfcc3_sma3_amean;0.12967021304375195;1563.8708586244963;0.0;20996
;F0semitoneFrom27.5Hz_sma3nz_amean;0.12449654270330192;1492.6017134417282;0.0;20996
;mfcc3V_sma3nz_amean;0.10249678201708239;1198.7226907778982;0.0;20996
;loudness_sma3_stddevNorm;0.09063237084752519;1046.1365130048393;0.0;20996
;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;0.07414432180877889;840.5801165320615;0.0;20996
;loudness_sma3_percentile20.0;0.058727019149450325;654.88776268197;1.2756059307428844e-276;20996
;spectralFlux_sma3_stddevNorm;0.058511057366774526;652.3298212431656;1.4174132609016077e-275;20996
;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;0.05552385974938023;617.0682021726037;3.910549162296996e-261;20996
;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;0.054225276608171544;601.8088682645697;7.171732579702719e-255;20996
;shimmerLocaldB_sma3nz_stddevNorm;0.05296091789082091;586.9919047088647;8.824298644945346e-249;20996
;equivalentSoundLevel_dBp;0.05260109489412377;582.7823840417752;4.757283318776382e-247;20996
;F3frequency_sma3nz_amean;0.04562843917227916;501.8369484485135;1.272410602866479e-213;20996
;F1frequency_sma3nz_amean;0.04411198178925116;484.3887652421546;2.1991922077748884e-206;20996
;spectralFluxV_sma3nz_amean;0.04191254623069425;459.18046393331906;6.594613270572311e-196;20996
;shimmerLocaldB_sma3nz_amean;0.04147532620804009;454.1831561001434;7.925086160071703e-194;20996
;alphaRatioUV_sma3nz_amean;0.040508726374738804;443.1513428839288;3.1164756818000175e-189;20996
;loudness_sma3_stddevFallingSlope;0.03806390179144565;415.34749127097075;1.2425846349429196e-177;20996
;F2frequency_sma3nz_amean;0.036928643893613555;402.48472573873937;2.9586261559819334e-172;20996
;loudness_sma3_meanRisingSlope;0.03686709560511233;401.78823426470785;5.786441138148078e-172;20996
;loudness_sma3_stddevRisingSlope;0.03587718006394424;390.59838928630194;2.7883122346959246e-167;20996
;spectralFlux_sma3_amean;0.035557038067078765;386.98447166132223;9.094685727866985e-166;20996
;spectralFluxUV_sma3nz_amean;0.035007843592925844;380.79048397791956;3.5800735135509074e-163;20996
;hammarbergIndexUV_sma3nz_amean;0.03489740408385029;379.5457638557215;1.1900699978068755e-162;20996
;spectralFluxV_sma3nz_stddevNorm;0.03425421046225313;372.3022393803424;1.2960615640332518e-159;20996
;hammarbergIndexV_sma3nz_amean;0.03397505878491722;369.161487784489;2.6921791736974094e-158;20996
;loudness_sma3_meanFallingSlope;0.032695549876460846;354.7888560157466;2.910579106995736e-152;20996
;F1frequency_sma3nz_stddevNorm;0.029536831855857173;319.4694716419733;2.1167771530601412e-137;20996
;HNRdBACF_sma3nz_stddevNorm;0.02701923447875238;291.4830434024968;1.3687121674541758e-125;20996
;slopeUV0-500_sma3nz_amean;0.026685598092908068;287.78509784030416;5.0024705432244735e-124;20996
;mfcc2_sma3_amean;0.026202157390783767;282.4312532008055;9.180023139312836e-122;20996
;loudness_sma3_amean;0.024340882099235742;261.86817123623155;4.651423678815845e-113;20996
;mfcc4_sma3_amean;0.02328405617421996;250.2274045772047;4.0060948651868205e-108;20996
;slopeV0-500_sma3nz_amean;0.02264717564145453;243.22442540291928;3.751713235922646e-105;20996
;mfcc1V_sma3nz_amean;0.019718786700501544;211.14170280296685;1.6308304138817095e-91;20996
;loudness_sma3_pctlrange0-2;0.019006799029501677;203.37028413223842;3.327681095379416e-88;20996
