speaker;feature;eta_squared;f_stat;p_value;n_total
;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;0.6035399011482395;13316.130464601734;0.0;34994
;F0semitoneFrom27.5Hz_sma3nz_amean;0.5643407689859161;11330.942718742648;0.0;34994
;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;0.5007684594398478;8774.179015052481;0.0;34994
;mfcc1V_sma3nz_amean;0.44707641698722533;7072.748040846639;0.0;34994
;spectralFluxV_sma3nz_amean;0.3778669650087377;5312.84568375171;0.0;34994
;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;0.3773945423840133;5302.177117927978;0.0;34994
;spectralFlux_sma3_amean;0.3744960681836689;5237.0745662738445;0.0;34994
;loudness_sma3_meanFallingSlope;0.336745903285233;4441.13442661254;0.0;34994
;alphaRatioV_sma3nz_amean;0.3338671167929946;4384.1389773577375;0.0;34994
;equivalentSoundLevel_dBp;0.3097131184942841;3924.6553111942562;0.0;34994
;F1frequency_sma3nz_amean;0.3056917238584805;3851.260345593324;0.0;34994
;loudness_sma3_meanRisingSlope;0.3052242032812622;3842.7827002051563;0.0;34994
;loudness_sma3_amean;0.30266529360261923;3796.5828535096925;0.0;34994
;loudness_sma3_pctlrange0-2;0.3000870204781649;3750.375070442222;0.0;34994
;loudness_sma3_percentile80.0;0.2981202472997444;3715.3548355829917;0.0;34994
;hammarbergIndexV_sma3nz_amean;0.28852836794708103;3547.3371710446268;0.0;34994
;mfcc1_sma3_amean;0.28244319010755237;3443.0739986128747;0.0;34994
;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;0.28166938295017807;3429.942218152813;0.0;34994
;logRelF0-H1-A3_sma3nz_amean;0.27530040834696834;3322.923766826086;0.0;34994
;mfcc2_sma3_amean;0.2647310320058863;3149.416907979758;0.0;34994
;loudness_sma3_stddevFallingSlope;0.25786712990637156;3039.3859953796896;0.0;34994
;mfcc2V_sma3nz_amean;0.2517612174008141;2943.202571322674;0.0;34994
;mfcc3V_sma3nz_amean;0.24435874671987037;2828.6796650751266;0.0;34994
;mfcc3_sma3_amean;0.24410640621721294;2824.815264140342;0.0;34994
;loudness_sma3_stddevRisingSlope;0.22985158387525204;2610.6257248046168;0.0;34994
;slopeV0-500_sma3nz_amean;0.2088261978458075;2308.7910066450117;0.0;34994
;HNRdBACF_sma3nz_amean;0.18403853773257395;1972.925405947231;0.0;34994
;loudness_sma3_percentile50.0;0.18251466888043102;1952.941999800653;0.0;34994
;spectralFluxUV_sma3nz_amean;0.17875003537271292;1903.8920112752378;0.0;34994
;F2frequency_sma3nz_amean;0.17548641420621022;1861.732254159824;0.0;34994
;spectralFlux_sma3_stddevNorm;0.16641181063834454;1746.2408047323254;0.0;34994
;hammarbergIndexV_sma3nz_stddevNorm;0.1479042378324134;1518.3215335897044;0.0;34994
;mfcc1V_sma3nz_stddevNorm;0.1469226979715754;1506.5100979430827;0.0;34994
;loudness_sma3_stddevNorm;0.14135577161959897;1440.0309609392123;0.0;34994
;jitterLocal_sma3nz_amean;0.13358824224505503;1348.7002473350128;0.0;34994
