fold,acc,precision_macro,recall_macro,f1_macro
1,0.8482857142857143,0.8599165054386312,0.8482857142857142,0.8514264356115463
2,0.816,0.840039242240049,0.8160000000000001,0.821825721251515
3,0.854,0.8613945349005168,0.8539999999999999,0.8520799477703767
4,0.7637142857142857,0.7597172623585813,0.7637142857142857,0.7557871464106968
5,0.7057142857142857,0.7269743257037977,0.7057142857142857,0.6998330979280782
6,0.6628571428571428,0.6567118268684226,0.6628571428571429,0.6447999009784124
7,0.7782857142857142,0.7914287551110022,0.7782857142857142,0.7762895664424269
8,0.7291428571428571,0.7456630555973202,0.729142857142857,0.7296916698263074
9,0.6882857142857143,0.7962957926634278,0.6882857142857143,0.6907759775421092
10,0.8142530051516886,0.8209810667170494,0.8142392236848501,0.8123568878002736
