fold,acc,precision_macro,recall_macro,f1_macro
1,0.8491428571428571,0.8593966466702347,0.8491428571428571,0.8514064841403352
2,0.8154285714285714,0.8365406377877367,0.8154285714285715,0.8202884370131261
3,0.85,0.8636053424252251,0.85,0.8496733892357466
4,0.7602857142857142,0.7543454680385971,0.7602857142857143,0.7520053251639408
5,0.7057142857142857,0.7206410546689849,0.7057142857142857,0.7001968865728833
6,0.6654285714285715,0.6612095224674039,0.6654285714285715,0.6472222069124285
7,0.7831428571428571,0.791312421038006,0.7831428571428571,0.7815979746071255
8,0.7357142857142858,0.7378491252548784,0.7357142857142857,0.7329820030328701
9,0.7437142857142857,0.8042071269320671,0.7437142857142857,0.7503485793541446
10,0.8119633657698913,0.8133534108942377,0.8119469600745349,0.8106629892411356
