fold,acc,precision_macro,recall_macro,f1_macro
1,0.8531428571428571,0.8617934289581598,0.8531428571428572,0.8556254779984988
2,0.8191428571428572,0.8416544243048614,0.8191428571428572,0.8246651783644692
3,0.8577142857142858,0.8663086234218376,0.8577142857142857,0.8562317038696989
4,0.7657142857142857,0.7612572669286466,0.7657142857142857,0.7573240071778069
5,0.7045714285714286,0.7241052421209159,0.7045714285714284,0.699832021844897
6,0.6657142857142857,0.658033370302481,0.6657142857142857,0.6499420319548697
7,0.7711428571428571,0.7845127139921811,0.7711428571428571,0.7692338355934487
8,0.7202857142857143,0.7380179127244135,0.7202857142857143,0.7218269128013055
9,0.6977142857142857,0.7967267566368559,0.6977142857142857,0.6979599492506079
10,0.8128219805380652,0.8201744283623208,0.8128057379204373,0.8106117718661014
