fold,acc,precision_macro,recall_macro,f1_macro
1,0.8488571428571429,0.8584981332371445,0.848857142857143,0.8511195812407211
2,0.8171428571428572,0.8378581832263045,0.8171428571428573,0.8216950169705409
3,0.8497142857142858,0.8639104622242393,0.8497142857142856,0.8494364203034855
4,0.7614285714285715,0.7556942002030305,0.7614285714285713,0.7532626447274408
5,0.704,0.7187196335574811,0.704,0.6983489400975029
6,0.6662857142857143,0.661404521791777,0.6662857142857144,0.6482239861504466
7,0.7848571428571428,0.7919963282111545,0.7848571428571429,0.7829359453698073
8,0.7362857142857143,0.7386511042489795,0.7362857142857142,0.7334700740663795
9,0.7434285714285714,0.8044109064157894,0.7434285714285714,0.750184462286956
10,0.8128219805380652,0.8142826918131382,0.8128098335907035,0.8116070536626792
