fold,acc,precision_macro,recall_macro,f1_macro
1,0.8525714285714285,0.8614855650043791,0.8525714285714286,0.8551995407366059
2,0.8168571428571428,0.8398038417622041,0.816857142857143,0.8227181652274863
3,0.8614285714285714,0.8699682316290595,0.8614285714285714,0.8598606306200415
4,0.7631428571428571,0.7582232432889561,0.7631428571428571,0.754258253832466
5,0.706,0.7247054635863259,0.706,0.7009087108852443
6,0.6682857142857143,0.6622002510329972,0.6682857142857144,0.6528120642443994
7,0.7728571428571429,0.7866124337025331,0.7728571428571429,0.7714499422331336
8,0.7245714285714285,0.7436098407412706,0.7245714285714284,0.7262258318017812
9,0.7008571428571428,0.802274882186761,0.7008571428571428,0.701140646528654
10,0.813966800228964,0.8206211730029317,0.8139514621496003,0.8116753599236581
