fold,acc,precision_macro,recall_macro,f1_macro
1,0.816,0.8524654085140954,0.8160000000000001,0.8218663883020545
2,0.7742857142857142,0.8047863997621819,0.7742857142857144,0.7843015715632085
3,0.8982857142857142,0.9083698014805348,0.8982857142857142,0.8983154861408419
4,0.7445714285714286,0.7512852537547337,0.7445714285714286,0.7348494007064785
5,0.6502857142857142,0.7251282829049013,0.6502857142857142,0.6219247936939238
6,0.7182857142857143,0.7664489467811129,0.7182857142857142,0.7032284001555116
7,0.7817142857142857,0.8093536575772422,0.7817142857142857,0.7686262612029654
8,0.7531428571428571,0.7755151509096234,0.7531428571428571,0.7584404261713986
9,0.8491428571428571,0.8559728131554344,0.8491428571428571,0.8505900780010496
10,0.7371428571428571,0.7991444238127501,0.7371428571428572,0.7316583985891392
