fold,acc,precision_macro,recall_macro,f1_macro
1,0.8257142857142857,0.8546306273216123,0.8257142857142856,0.8305147486196962
2,0.7737142857142857,0.7954200893450998,0.7737142857142857,0.7799775038540842
3,0.8971428571428571,0.9078039941686955,0.8971428571428571,0.8975047534238039
4,0.7554285714285714,0.7606930906993161,0.7554285714285714,0.7480076937707
5,0.6491428571428571,0.7188973137884136,0.6491428571428572,0.6260919908617082
6,0.6948571428571428,0.7274425932042937,0.694857142857143,0.6708887230043081
7,0.7902857142857143,0.8056647466374296,0.7902857142857143,0.7820194388636847
8,0.7422857142857143,0.7725967684611298,0.7422857142857142,0.7472376972664441
9,0.8371428571428572,0.8429392484734921,0.8371428571428572,0.8368823905333971
10,0.7497142857142857,0.8002134106282911,0.7497142857142858,0.752828372908642
