fold,acc,precision_macro,recall_macro,f1_macro
1,0.8234285714285714,0.8524708071219699,0.8234285714285715,0.8282851333770516
2,0.7748571428571429,0.7963748346645759,0.7748571428571429,0.7810552435401877
3,0.8977142857142857,0.9083841398656103,0.8977142857142859,0.8981651834735253
4,0.7565714285714286,0.7616655770792133,0.7565714285714287,0.7494798585138647
5,0.6508571428571429,0.7222677241190864,0.6508571428571429,0.6283711898382974
6,0.6948571428571428,0.7288388021826304,0.6948571428571428,0.6708176468567798
7,0.7874285714285715,0.8016565532514784,0.7874285714285715,0.7787329031192918
8,0.7451428571428571,0.7761703356819292,0.7451428571428571,0.7503308453208616
9,0.836,0.8422731857007602,0.836,0.8359024717293175
10,0.7565714285714286,0.8069134771548756,0.7565714285714285,0.7598805683202013
