fold,acc,precision_macro,recall_macro,f1_macro
1,0.8165714285714286,0.8508874347053395,0.8165714285714285,0.8218630115782798
2,0.7731428571428571,0.8044915915469538,0.7731428571428571,0.783301773416339
3,0.9017142857142857,0.9108312354664377,0.9017142857142856,0.9019359563838556
4,0.7514285714285714,0.758034036453559,0.7514285714285714,0.7424567197295776
5,0.6531428571428571,0.7258031787040341,0.6531428571428572,0.6256614711597418
6,0.7217142857142858,0.7675879152370261,0.7217142857142858,0.7079157794221551
7,0.7805714285714286,0.8079627552853357,0.7805714285714286,0.7662294140317967
8,0.7537142857142857,0.7710527674109848,0.7537142857142858,0.7585999429271637
9,0.8405714285714285,0.8512479384330416,0.8405714285714285,0.8430790848416304
10,0.7382857142857143,0.798698928907561,0.7382857142857143,0.7322676151967349
