fold,acc,precision_macro,recall_macro,f1_macro
1,0.8068571428571428,0.8157932578407875,0.8068571428571429,0.7801363725563656
2,0.8142857142857143,0.8106486984200126,0.8142857142857143,0.8052770979429056
3,0.8874285714285715,0.8999338399827833,0.8874285714285713,0.8867387982999002
4,0.8577142857142858,0.8875450784535472,0.8577142857142857,0.8623506304848843
5,0.8085714285714286,0.8134945559802041,0.8085714285714285,0.8088559076765847
6,0.7445714285714286,0.7800105890658091,0.7445714285714286,0.7396517701817176
7,0.772,0.7846931865528204,0.772,0.7669454683746733
8,0.6365714285714286,0.6329217377467222,0.6365714285714287,0.5891276926432101
9,0.6817142857142857,0.7099251668929275,0.6817142857142857,0.6845891890608652
10,0.8560779816513762,0.8626907284301103,0.8560545118353634,0.8551793138754128
