fold,acc,precision_macro,recall_macro,f1_macro
1,0.8234285714285714,0.8335062543547463,0.8234285714285715,0.8013374597998562
2,0.8,0.7972082078398176,0.8,0.78873781806048
3,0.8777142857142857,0.89312334536951,0.8777142857142858,0.8760849044698702
4,0.8702857142857143,0.890398046013836,0.8702857142857143,0.8731138603246871
5,0.7891428571428571,0.7884805961401204,0.7891428571428571,0.7868601849421044
6,0.7434285714285714,0.7648139299709822,0.7434285714285715,0.7365913825429307
7,0.7634285714285715,0.7831774558691651,0.7634285714285713,0.7614371171731793
8,0.6388571428571429,0.6261594520402924,0.6388571428571429,0.6032491834368677
9,0.664,0.6869338246571776,0.6639999999999999,0.6628904614880963
10,0.8463302752293578,0.8606529195709024,0.8463369985085232,0.8483660093595521
