fold,acc,precision_macro,recall_macro,f1_macro
1,0.824,0.8336672773442162,0.8240000000000001,0.8017562572638767
2,0.7965714285714286,0.7931700902095671,0.7965714285714286,0.784978603528404
3,0.8782857142857143,0.8942670312256731,0.8782857142857143,0.8766460649565516
4,0.8731428571428571,0.89161828910101,0.8731428571428571,0.875763655573024
5,0.7885714285714286,0.7877516816963309,0.7885714285714286,0.7863515336024163
6,0.7411428571428571,0.7627540307955065,0.7411428571428572,0.7342127569266951
7,0.7645714285714286,0.7826759371047671,0.7645714285714286,0.7623519694425864
8,0.6342857142857142,0.6200754783939157,0.6342857142857143,0.5985179591212278
9,0.6628571428571428,0.686252594506485,0.6628571428571429,0.6614806391340045
10,0.8440366972477065,0.8581569400219259,0.8440463722293581,0.8460549278387074
