fold,acc,precision_macro,recall_macro,f1_macro
1,0.808,0.8168872880313731,0.808,0.7819883564868888
2,0.8137142857142857,0.810956826760737,0.8137142857142857,0.8045058606887521
3,0.8834285714285715,0.8969542050808433,0.8834285714285712,0.8825989991230815
4,0.8605714285714285,0.8893602513771383,0.8605714285714285,0.864997299681342
5,0.8062857142857143,0.8107538878008418,0.8062857142857143,0.8063626556519947
6,0.7451428571428571,0.7841093100260923,0.7451428571428572,0.7395883852815837
7,0.7748571428571429,0.7871856982764066,0.7748571428571429,0.7704543743453696
8,0.6354285714285715,0.6328110755889707,0.6354285714285715,0.5891038108954673
9,0.6857142857142857,0.7141882297450037,0.6857142857142857,0.6886697233708393
10,0.8589449541284404,0.8654714274805755,0.8589116452825574,0.8579300675843642
